Date,Close,High,Low,Open,Volume
2018-08-28,16.9381,16.9676,16.8792,16.8792,33152312
2018-08-29,17.1345,17.1542,16.9774,16.9774,53535384
2018-08-30,17.1934,17.3506,17.1738,17.2425,39576708
2018-08-31,17.0756,17.0854,16.9774,17.0854,16982440
2018-09-03,16.9774,17.1247,16.9676,17.0756,14668308
2018-09-04,17.0854,17.0854,16.9774,17.0462,9430900
2018-09-05,17.0854,17.1443,17.0265,17.0854,9985232
2018-09-06,16.9872,17.0658,16.9283,17.0658,7783556
2018-09-07,16.9676,16.9774,16.8891,16.9283,10023632
2018-09-10,16.889,17.0069,16.8203,17.0069,21205124
2018-09-11,16.8203,16.889,16.7712,16.8792,78101616
2018-09-12,16.8007,16.8694,16.7418,16.8596,74335892
2018-09-13,16.6828,16.8498,16.673,16.8498,83984800
2018-09-14,16.9872,16.9872,16.8105,16.84,34465500
2018-09-17,16.8596,16.9872,16.8301,16.9872,35955840
2018-09-18,16.7712,16.8301,16.7319,16.8105,24562284
2018-09-19,16.9185,16.948,16.8301,16.8498,27526508
2018-09-20,16.8694,16.9971,16.8498,16.9774,16639104
2018-09-21,17.056,17.056,16.8694,16.9382,29481756
2018-09-25,17.1051,17.1149,17.0069,17.0167,30025008
2018-09-26,17.0658,17.0854,17.0363,17.0658,32146012
2018-09-27,17.1542,17.1738,17.0069,17.0069,111200144
2018-09-28,17.0658,17.2131,17.0069,17.1542,52809484
2018-10-01,17.1542,17.164,17.0658,17.0658,23648936
2018-10-02,16.8989,17.1345,16.8891,17.1345,21737328
2018-10-03,16.8792,16.948,16.8498,16.8989,17478760
2018-10-04,16.673,16.8301,16.6534,16.8301,38947872
2018-10-05,16.3883,16.5945,16.2999,16.5945,106976384
2018-10-08,16.2999,16.3785,16.2017,16.2901,186048816
2018-10-09,16.349,16.3784,16.2606,16.3097,82123588
2018-10-11,15.2001,15.7402,15.1903,15.7402,274206496
2018-10-12,15.7206,15.7206,15.2198,15.2591,92733128
2018-10-15,15.5536,15.6126,15.4456,15.6126,196954632
2018-10-16,15.5733,15.6126,15.4358,15.5144,66706580
2018-10-17,15.5929,15.8089,15.5831,15.7991,81220148
2018-10-18,15.5438,15.6617,15.5045,15.6126,31893128
2018-10-19,15.5733,15.5733,15.318,15.3573,48256144
2018-10-22,15.5536,15.6224,15.318,15.3867,49813812
2018-10-23,15.2689,15.4358,15.2591,15.3376,99593568
2018-10-24,15.2001,15.3082,15.0627,15.2787,52010000
2018-10-25,14.827,14.9645,14.7877,14.827,115743544
2018-10-26,14.8074,15.0136,14.6306,14.9743,71135124
2018-10-29,14.8761,14.9448,14.7976,14.8957,39533040
2018-10-30,14.9154,14.9743,14.827,14.8859,24460200
2018-10-31,15.2296,15.2296,15.043,15.043,39552896
2018-11-01,15.3965,15.4063,15.2296,15.2885,27189176
2018-11-02,15.4456,15.4751,15.318,15.3965,26829316
2018-11-05,15.3671,15.3671,15.2394,15.3376,18483000
2018-11-06,15.318,15.4162,15.2689,15.4063,24737928
2018-11-07,15.3965,15.426,15.3278,15.3573,24743000
2018-11-08,15.4849,15.5929,15.4162,15.5438,41055940
2018-11-09,15.2787,15.4162,15.2492,15.4162,147344044
2018-11-12,15.318,15.3769,15.2296,15.2689,24513040
2018-11-13,15.1412,15.1707,14.8663,14.9547,42823476
2018-11-14,15.1903,15.2001,15.1216,15.1707,25145500
2018-11-15,15.2394,15.2492,15.0725,15.2198,22737472
2018-11-16,15.1118,15.3082,15.0921,15.3082,35511616
2018-11-19,15.0627,15.1511,15.043,15.1314,28221480
2018-11-20,14.9252,15.0234,14.8761,15.0038,34404492
2018-11-21,14.9252,14.935,14.6994,14.7877,60492172
2018-11-22,14.8467,14.9743,14.8467,14.9448,23731212
2018-11-23,14.7976,14.8957,14.7386,14.8663,16128860
2018-11-26,14.9547,15.1118,14.8761,14.9056,25285068
2018-11-27,14.935,14.935,14.7681,14.9154,30455732
2018-11-28,15.102,15.1118,14.8761,14.9547,30123040
2018-11-29,15.1314,15.3082,15.1314,15.2591,35502348
2018-11-30,15.0725,15.1903,15.0725,15.1609,16836844
2018-12-03,15.4751,15.5144,15.2787,15.2885,55367944
2018-12-04,15.3671,15.4162,15.3376,15.4162,16317136
2018-12-05,15.0529,15.1609,15.0529,15.1412,38529464
2018-12-06,14.7485,14.8957,14.6994,14.8957,81301684
2018-12-07,14.8172,14.8761,14.7877,14.8467,27108032
2018-12-10,14.6208,14.7092,14.6208,14.6306,52041136
2018-12-11,14.7386,14.7485,14.6208,14.6306,21232912
2018-12-12,14.9645,14.9743,14.8074,14.8565,34658780
2018-12-13,14.9841,15.0234,14.9154,14.9645,24950320
2018-12-14,14.7976,14.8859,14.719,14.8859,35047356
2018-12-17,14.9154,14.935,14.7583,14.7976,22553732
2018-12-18,14.7877,14.8368,14.7386,14.827,30620004
2018-12-19,14.9056,14.9154,14.7976,14.827,17973840
2018-12-20,14.7386,14.8368,14.7288,14.7288,38230852
2018-12-21,14.7681,14.7779,14.6208,14.719,33860572
2018-12-24,14.6699,14.7288,14.6405,14.6994,23809316
2018-12-25,14.4833,14.5619,14.395,14.5619,48285016
2018-12-26,14.4441,14.5914,14.4342,14.5324,35679876
2018-12-27,14.7386,14.7583,14.6306,14.6895,38461436
2018-12-28,14.827,14.827,14.6994,14.7485,18519500
2019-01-02,14.5423,14.9056,14.5226,14.8957,34128292
2019-01-03,14.4048,14.5324,14.3852,14.4932,53388588
2019-01-04,14.1789,14.2968,14.1397,14.2968,85169860
2019-01-07,14.5226,14.5423,14.3851,14.4441,58422552
2019-01-08,14.4637,14.5619,14.4441,14.5619,44026800
2019-01-09,14.7288,14.7583,14.5226,14.5226,45722092
2019-01-10,14.6895,14.7092,14.6306,14.6895,11293132
2019-01-11,14.827,14.8761,14.7583,14.7877,41451660
2019-01-14,14.7288,14.8172,14.6797,14.8172,21193620
2019-01-15,14.8565,14.8859,14.7386,14.7386,47345800
2019-01-16,14.8368,14.8663,14.7976,14.8565,61370012
2019-01-17,14.8368,14.9056,14.7583,14.8467,40082956
2019-01-18,14.9154,14.9448,14.8074,14.8761,33173964
2019-01-21,15.0234,15.0627,14.9743,14.9939,41019024
2019-01-22,14.993,15.0639,14.9424,15.0639,35355724
2019-01-23,14.9222,14.9829,14.912,14.9829,25629768
2019-01-24,14.993,15.0133,14.9323,14.9728,14002024
2019-01-25,15.1854,15.2056,15.0943,15.1044,29283112
2019-01-28,15.2157,15.2765,15.1955,15.2157,15300572
2019-01-29,15.0841,15.0943,15.0234,15.0841,17679160
2019-01-30,15.0538,15.1145,15.0234,15.0841,21020916
2019-02-11,15.2157,15.317,15.155,15.2562,26459600
2019-02-12,15.317,15.3372,15.2562,15.2562,24656600
2019-02-13,15.2866,15.3777,15.2664,15.3777,16630800
2019-02-14,15.236,15.3372,15.236,15.2866,14566168
2019-02-15,15.1955,15.3069,15.1651,15.2461,14064444
2019-02-18,15.317,15.3676,15.2866,15.2866,26384652
2019-02-19,15.2866,15.3271,15.2866,15.3271,11448276
2019-02-20,15.4587,15.4891,15.3676,15.3676,137231412
2019-02-21,15.6106,15.6106,15.4688,15.4688,74659260
2019-02-22,15.5802,15.5802,15.4891,15.5802,39524068
2019-02-25,15.6916,15.7422,15.6511,15.6612,77461416
2019-02-26,15.732,15.7523,15.6511,15.7219,63612204
2019-02-27,15.7219,15.732,15.6612,15.732,51629956
2019-03-04,15.5802,15.7017,15.5296,15.7017,33878280
2019-03-05,15.5397,15.5701,15.479,15.5093,37601972
2019-03-06,15.5802,15.6004,15.5397,15.56,78319168
2019-03-07,15.5195,15.6004,15.5093,15.5701,72959080
2019-03-08,15.3878,15.4587,15.3474,15.4283,39900800
2019-03-11,15.4182,15.4182,15.3271,15.3575,18569560
2019-03-12,15.6409,15.6814,15.5498,15.5599,55429872
2019-03-13,15.6106,15.6308,15.5498,15.6004,40594116
2019-03-14,15.6004,15.6713,15.5802,15.6511,20835024
2019-03-15,15.7118,15.732,15.6207,15.6612,45935004
2019-03-18,15.813,15.813,15.7219,15.7422,48874832
2019-03-19,15.8738,15.8738,15.7624,15.813,34417184
2019-03-20,15.894,15.9042,15.8333,15.8637,47424108
2019-03-21,16.0256,16.0256,15.9244,15.9548,45364852
2019-03-22,16.0661,16.137,16.0054,16.0965,27721428
2019-03-25,15.8232,15.8637,15.7928,15.813,28083024
2019-03-26,15.9244,15.9345,15.8738,15.894,10800360
2019-03-27,15.894,15.9345,15.8333,15.8839,10222736
2019-03-28,15.894,15.9143,15.8232,15.8535,13661728
2019-03-29,16.0256,16.0256,15.8434,15.9345,22721936
2019-04-01,16.1674,16.2787,16.1167,16.1977,44213620
2019-04-02,16.2281,16.2888,16.218,16.218,22420368
2019-04-03,16.2281,16.2888,16.1876,16.2787,27468696
2019-04-08,16.38,16.4002,16.3395,16.3597,31963128
2019-04-09,16.4812,16.4812,16.3698,16.3901,61088188
2019-04-10,16.5014,16.5116,16.4204,16.4204,43452644
2019-04-11,16.4306,16.5116,16.38,16.4711,33089720
2019-04-12,16.4205,16.4609,16.4002,16.4306,29993636
2019-04-15,16.5723,16.6027,16.5116,16.5318,30726216
2019-04-16,16.6229,16.6331,16.5622,16.5723,31071724
2019-04-17,16.7545,16.7849,16.6634,16.6634,92419348
2019-04-18,16.7444,16.876,16.6938,16.7849,82761460
2019-04-19,16.7647,16.9064,16.7444,16.8558,50062636
2019-04-22,16.7444,16.8254,16.7343,16.8051,11497248
2019-04-23,16.8153,16.8456,16.714,16.7444,24048124
2019-04-24,16.8456,16.9165,16.7849,16.8861,12434224
2019-04-25,16.8861,16.8963,16.8052,16.8254,14116156
2019-04-26,16.6938,16.7647,16.6432,16.7647,15260360
2019-04-29,16.7647,16.795,16.7039,16.7242,12647828
2019-04-30,16.7647,16.7849,16.6837,16.7647,12991564
2019-05-02,16.8052,16.8963,16.7849,16.795,24622252
2019-05-03,16.957,16.9671,16.8254,16.8254,121297864
2019-05-06,16.6634,16.7242,16.6128,16.7242,29854448
2019-05-07,16.8355,16.8659,16.7343,16.7343,56045768
2019-05-08,16.714,16.7748,16.6533,16.6837,54292568
2019-05-09,16.5116,16.6432,16.4508,16.633,27694692
2019-05-10,16.5014,16.633,16.38,16.5116,47176540
2019-05-13,16.2281,16.4205,16.218,16.4205,74712424
2019-05-14,16.1269,16.2079,15.975,16.1167,81118520
2019-05-15,16.1471,16.1977,16.0864,16.1269,69047356
2019-05-16,16.0054,16.1167,15.9953,16.0965,68399896
2019-05-17,15.8434,16.1066,15.8434,16.0965,94295304
2019-05-20,15.8333,15.9548,15.8232,15.894,57219052
